Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Sugar Pop - Original,Zap Pow,2007,nan,163.99628,146.082
No Looking Back,Leo Sayer,1996,0,176.16934,101.304
Interlude 2,Strong Arm Steady,2010,0,26.98404,92.26
Alpha Desperation March,Atom And His Package,2001,0.444401715,154.46159,95.522
Perfect Nations,Banghra,2007,nan,216.52853,100.982
Almost Home,Patrice Rushen,1997,0.375984302,266.16118,89.139
Amphibia Part 1,Patrick Rondat,1996,nan,219.48036,210.466
I'll Hold You In My Heart,Eddy Arnold,1967,nan,160.28689,111.035
2 Bad,Michael Jackson,1995,nan,212.4273,103.805
We Are Rockstars (Radio Edit),Does It Offend You_ Yeah?,2008,0.554452304,178.57261,127.984
Mystery Repeats (Radio Version),Pete Philly & Perquisite,2008,0.327736683,166.73914,121.016
Obsession,SOiL,2004,0.781429614,297.92608,120.159
One Way Street (From The Film 'Rocky IV'),Go West,1999,0.496922112,273.03138,150.873
Awakening Of The Forgotten,Sinai Beach,2003,0.367273416,114.62485,98.149
I Watch Myself,The Plan,2004,nan,322.61179,44.4
Midnight,Sebastien Schuller,2009,0.467365631,394.16118,111.051
Arriba Dicembre,Plastilina Mosh,2008,nan,249.93914,86.708
Saturday Night ,Whigfield,1994,0,232.09751,140.006
Through The Barricades,Spandau Ballet,1986,0.782692804,321.17506,146.12
I Should Care,MARTIN TAYLOR,1999,nan,382.1971,97.651
Free the fire,Vanden Plas,2002,0.632465654,271.28118,130.004
The Path Of Love,Beth Nielsen Chapman,2010,0.408110884,241.89342,69.901
As Andorinhas,Secos And Molhados,1973,nan,60.682,101.759
Mugshot,Russell Malone,1997,0.547952942,553.16853,177.238
Strong And Wasted,M83,2007,0.72920254,116.47955,95.55
La Isla De Las Iguanas,Héroes del Silencio,1988,0.501015499,199.65342,139.627
What Was I Thinking? (Group),Four Bitchin' Babes,1995,0.22970751,309.28934,88.056
Nitro Fuel,Dick Dale & His Del-Tones,2006,nan,123.24526,200.879
Suspicious Minds,Pete Yorn,2003,0.450762242,237.5571,122.088
Ain't No Click,Lloyd Banks / Tony Yayo,2004,0.540786009,265.32526,116.622
Das Tier in Dir,Extrabreit,1991,0.215080319,204.09424,161.761
What Are You Afraid Of,West Indian Girl,2004,0.63748945,309.99465,136.758
The Boys Are Back In Town,Patty Loveless,2002,0.525497119,154.40934,110.301
Ingen Har Skylda,Jokke med Tourettes,1999,0.468997788,218.46159,90.345
State Of Emergency,Samson,1990,0.579358163,265.24689,94.155
Crazy He Calls Me,Aretha Franklin,1969,0.450762242,208.97914,114.807
Snitch to the Suture,Star Fucking Hipsters,2008,0.67080584,156.94322,207.446
The Gates Of Paradise ( LP Version ),David Byrne,1997,0.23805195,211.25179,163.762
The World Don't Sing,Emanon,2005,0.474147941,271.882,98.004
A Public Affair,Jessica Simpson,2006,nan,224.23465,123.964
Back Of My Lac',J. Holiday,2007,0.622458623,289.2273,123.257
Struggle For Pleasure,Wim Mertens,1983,nan,241.52771,72.345
Rock Star Camp,Iron Lung Corp,2002,nan,297.97832,140.08
Cuts Like A Knife,Bryan Adams,1983,nan,303.56853,96.179
(KFAD) Wait For No One,King,2007,0.253834736,217.15546,124.709
Don't Wait Up,Kleenex Girl Wonder,1999,0,87.90159,146.758
Geboren,Die Fantastischen Vier,2004,nan,438.15138,85.331
Think,Puddle Of Mudd,2003,0.610437292,250.67057,140.637
The Little Drummer Boy,The Roches,1990,0.531722098,198.03383,114.161
Owner Of A Lonely Heart,Emmerson Nogueira,2003,nan,227.7873,136.684
Oakie Boogie,Ella Mae Morse,1998,nan,120.0322,93.349
Blue Monday,New Order,1983,nan,269.89669,127.994
I Can't Today_ I'm On Duty,Look Mexico,2008,0.499445835,175.5424,131.228
Swamps Of Sadness,Giorgio Moroder,1984,0.511424326,114.1024,84.435
V Tichosti,Prouza,2007,0.304169503,373.96853,147.999
Waves,Dj Satomi,2005,nan,220.02893,140.067
Dem Nuh Know Me (8FM Mix),Eight Frozen Modules,2004,nan,290.37669,103.057
El sueño del mono,Celtas Cortos,2003,0.304169503,278.64771,130.061
Smooth Up,Bullet Boys,2007,nan,342.83057,93.586
Time,Mothergong,1988,nan,444.9171,105.054
That's What I Want To Know,James Carr,1966,nan,186.53995,150.962
The Fireside,Yo La Tengo,2009,0.777744443,685.03465,73.008
Small,Queen + Paul Rodgers,2008,0.26895613,279.48363,85.143
She's Famous Now,Reel Big Fish,1998,0.636515049,185.83465,192.68
Double Down,Joe McBride,2005,0.518759898,299.98975,223.939
Boy Boy Boy,Underworld,2007,0.700111466,367.12444,124.999
War is Over,Puracane,2006,nan,336.95302,117.998
Positive Vibrations,Moneybrother,2003,nan,251.42812,162.579
Living On A Prayer,Topmodelz,2007,0.678221627,246.80444,136.024
Arriba Allez,Bellini,2000,0,177.57995,136.956
El Cobarde,Victor Manuel,1969,0.212045405,175.04608,101.641
Seberapa Pantas,Sheila On 7,1998,0.593573745,241.29261,162.518
Daybreak,Krokodil,1993,0.270775999,508.21179,132.888
All Of White Horizons,Agonised By Love,2005,0.349166902,235.07546,120.22
AOD,65daysofstatic,2003,0.638993038,375.37914,144.029
Darlin' Danielle Don't,Henry Lee Summer,1988,0.386790177,242.83383,112.532
Solid Gold,The Golden Filter,2009,0.658769338,210.23302,119.999
Falador Passa Mal,Os Originais Do Samba,1973,nan,188.81261,177.786
Feed Her Lust,On Thorns I Lay,2000,0.476373347,301.24363,136.973
Father Part The Clouds In The Sky (Acoustic),Akissforjersey,2008,0.538406862,225.56689,144.627
Interlude A,Moonstarr,2002,nan,65.64526,122.28
Insouciance,Charge 69,2000,0.327736683,198.97424,97.844
It's Too Late,Jes,2010,0.279883909,213.81179,128.041
Saanhan viimeisen tanssin,Rauli Badding Somerjoki,1982,0.327736683,176.63955,87.655
Willie O Winsbury,Anne Briggs,1971,0.487112195,332.9824,166.189
Skitzo Dancer,Scenario Rock,2008,0.546561427,301.42649,86.708
Kinna Sohna,Nusrat Fateh Ali Khan,1993,0.443291312,220.86485,139.086
Uniform,New Days Delay,2007,0.413752422,192.13016,138.975
Early In The Morning,Eddie C. Campbell,1994,nan,130.45506,144.957
While Gamekeepers Lie Sleeping,The Watersons,1998,nan,168.202,103.799
The New Love Song,The Avett Brothers,2004,0.79507494,244.53179,154.737
Under Control,Freeland,2009,nan,279.17016,172.966
Difé Soupapé,Kassav',1999,nan,268.93016,116.147
Conned Through Life,Extreme Noise Terror,1988,0.593573745,82.6771,114.208
Green River,Creedence Clearwater Revival,1998,nan,153.23383,141.204
Do The Dangle,John Entwistle,2005,nan,243.35628,161.426
Big Uncle Ugliness,Lowlife,1987,0.626271824,244.40118,89.975
This Song For You (Album),Boy Hits Car,2005,0.495293621,261.53751,151.864
I Love You 'Cause I Have To,Dogs Die In Hot Cars,2003,0.726516361,165.69424,155.96
Polluted Pool,Wang Wen,2008,0,385.72363,108.183
Dizzy,Tommy Roe,1969,nan,179.85261,104.008
Belly Full Of Fire,Giant Sand,2008,0.567962067,280.47628,160.224
Varo miestä,Happoradio,2006,0.581815981,194.89914,109.995
Tapisserie VIII - Dead Boy Round the Corner,Sebkha-Chott,2008,nan,97.61914,69.419
Kissalude,Basement Jaxx,2001,nan,22.7522,170.834
Smile,Russell Watson,2007,0.375984302,247.37914,66.027
The Patty Hearst Syndrome,Smoke Or Fire,2007,0.725348916,180.27057,171.312
The Cord Is Cut (Scene 6),Mira Calix,2008,nan,306.05016,69.492
Rocquet,Love Supreme,2007,nan,362.91873,240.084
Shoreline,Max Graham,2000,nan,535.74485,92.011
Turn Gold,Birds Of Avalon,2008,nan,234.39628,132.018
Stars,My Little Pony,2008,0.437036204,226.11546,107.959
See To Your Neighbor,The Electric Flag,1992,0.260338243,154.51383,101.779
Come Fly With Me,Sheep on Drugs,1996,nan,200.04526,155.07
Can You Hear Me,Killer Mike,2008,0.725315695,204.35546,131.964
Gaupasa o spiz,Lendakaris Muertos,2006,0.481694147,70.42567,189.993
Stay Tuned,Gang Starr,1992,0.566707642,151.84934,105.023
Miami and Las Vegas,Lewis Black,2000,0.703415396,390.97424,241.024
Das Ganz Normale Leben,Virginia Jetzt!,2004,0.635867238,239.69914,91.565
Sweeter As The Days Go By,Chris Clark,1967,0.239629098,172.09424,95.885
Language of Time,Pat Metheny Group,1996,0.392008771,453.3024,93.82
Fish and Whistle,John Prine,1978,0.524822258,181.34159,159.432
Let The Good Times Roll,LOUIS JORDAN,1975,nan,169.9522,120.05
Get Yourself Another Fool,Charles Brown,1995,nan,172.14649,94.847
Eyelashings,Boom Bip,2005,0.528600514,383.242,84.664
Lágrimas De Jah,Ponto De Equilíbrio,2008,0.54287719,313.49506,132.036
Whimsical,Days Of The New,1997,0.68626367,364.9824,126.719
That Fire,Tanto Metro & Devonte,2001,nan,228.44036,195.873
Unga Hjärtan,Orup,2000,0.461934589,210.05016,123.25
Le Paradis Noir,Dark Sanctuary,2000,0.653515701,534.07302,144.172
I Believe,Robert Plant,1993,0.269008709,272.53506,104.018
Broken_ Beat & Scarred,Metallica,2008,0.792247275,385.43628,119.801
Flesh For Fantasy,Billy Idol,1983,nan,228.33587,189.066
Louise's Church,Laura Nyro,1997,nan,215.01342,103.567
Key To The Highway,Little Walter,1989,0,172.5122,117.96
Criminal,Grand National,2003,0.345802234,170.44853,139.793
Sticky Jazz,Shriekback,1986,0,268.06812,109.04
Feet On The Ground,Marla Glen,1993,0.567426613,204.042,92.902
Sins Of The Mother,Brian Tyler,2003,0.44082644,84.71465,14.528
Stand By Me,Jimmy Ruffin / David Ruffin,1989,nan,224.78322,195.854
Our First Drunk Dream,Pinetop Seven,1998,0.278919336,144.48281,133.75
Whitewash,Gin Blossoms,1996,0.517148973,199.00036,160.838
Day Of Redemption,Norther,2004,0.601951755,390.79138,95.08
Selamanya,Anggun,1997,nan,143.90812,98.012
Psycho Ward,Redman,1992,0.7037451,88.89424,106.108
Ketchup Loves Potatoes,Eugene Chadbourne,2004,0.265861049,178.46812,187.975
All Aboard,The Datsuns,2006,0.478276995,207.49016,100.988
Over Yonder (Jonathan's Song),Steve Earle,2000,0.617216323,231.44444,143.227
3 Times,Cat Power,1995,nan,253.1522,90.883
Rhythm and Business,Tower Of Power,1997,0.581596642,249.25995,92.997
Legend Of The Headless Rider,Mercyful Fate,1993,0.544514002,461.5571,147.162
Live For Real,K's Choice,2000,nan,246.30812,109.399
Foggy Mountain,Augustus Pablo,1999,0.270775999,221.72689,148.099
God Speaking,Mandisa,2007,nan,297.27302,99.87
Gurk Burk,Ticon,2001,0.270775999,599.90159,140.014
Digital Full Track,Joy Division,2008,0.216959588,155.61098,97.462
Vecchia Balera / I Tuoi Vent'anni,Roberto Vecchioni,2002,nan,209.76281,66.789
Back On The Streets,White Lion,2006,0,278.15138,128.056
Time Will Tell,Hank Penny,2005,0,171.91138,86.486
Rain (Vocal Remix),Kerri Chandler,2000,nan,473.5473,125.056
The Land Without Law,Jackson United,2008,0.408110884,237.11302,150.284
Marta's song,Deep Forest,1995,nan,253.85751,171.788
Battle,Blur,1999,nan,463.77751,92.263
Assumpta,Siniestro Total,1984,nan,107.96363,161.51
Alfie,Nancy Wilson,1999,0.551197611,184.0322,78.983
Watcha Gonna Do About It (Live 77),The Pop Rivets,2002,0,181.55057,138.642
Like The Wind,Vibekingz / Maliq,2006,nan,212.61016,104.044
Call Your Name,Daughtry,2009,nan,241.3971,141.702
Can't Stop_ Won't Stop,Young Gunz / Chingy,2004,nan,262.76526,133.277
Isy,Luigi Tenco,1967,0.266955186,117.05424,80.74
Lose It All,Pillar,2009,0.485122364,209.13587,155.909
Love For Mrs. Rhodes,Raz Ohara & The Odd Orchestra,2007,nan,324.12689,129.998
All I Want,Aromabar,2001,0.439525605,332.79955,124.985
Goldie's Last Day,PFR,1993,0.265861049,254.06649,140.289
Bait,Jack Endino,2005,0,141.13914,125.915
Tom Dooley,Doc Watson,1964,nan,173.06077,48.703
Manchmal Featuring J-Luv Alias Julian Williams I.,Samy Deluxe,2004,0.485122364,239.46404,97.892
High Ball Shooter,Deep Purple,1974,0.602194311,267.38893,137.675
Pilvenpiirtäjä,Don Huonot,1994,nan,308.81914,110.544
Interlude Tez,Missill,2008,0.304169503,49.31873,119.155
Ballad Of Hollis Brown,Billy Childish,1999,0.413752422,274.25914,110.576
Make It Right,Ace Troubleshooter,2003,nan,202.4224,95.961
Burn The Witch,Queens Of The Stone Age,2005,0.925297209,186.3571,127.35
All The Good Things Fade Away,Pat Green,2003,0.460541281,199.52281,133.715
Lisa & Oscar,Klaus Badelt,2008,0.253834736,190.06649,163.829
Ra,Jordan Rudess,2004,0.676548906,474.61832,116.406
Nie Manipuluj,Voo Voo,2008,0.485761153,415.99955,38.881
Can You Feel The Beat,Lisa Lisa & Cult Jam;Full Force,1985,0.671040568,410.77506,122.405
Intimacy_ Just Gently Shimmer,Rip Rig & Panic,1983,0,196.98893,114.869
Fred Bear  (LP Version),Ted Nugent,1995,0.306120433,461.94893,157.838
Laura Deathley,Phillip Boa And The Voodooclub,1991,0.212045405,261.77261,80.693
Tell Me All About It,Natalie Cole,2002,0.728572232,250.30485,132.074
I Just Need Myself,The Cure,1979,nan,132.67546,169.746
Lifesize,A C Temple,1991,nan,192.96608,96.417
Snow Angel Summer,Voyager One,2002,nan,283.14077,153.725
Lost (Album Version),Meat Puppets,1983,nan,183.19628,116.898
Destination Zero,Zornik,2004,0.419674279,279.01342,150.143
Joy on the Other Side,Ruthie Foster,2009,0.405115722,224.13016,180.501
Heaven Knows No Pain,One Man Army And The Undead Quartet,2007,0.656712653,284.60363,175.028
Can't Take Me Home,P!nk,2000,nan,218.8273,142.548
No Tengo Dinero (C & J Mix),Los Umbrellos,1998,0.594483379,213.75955,109.343
Love Me True,Alastair Moock,2004,0.253834736,203.04934,106.518
Devil With Blue Suede Shoes (Album Version),Chuck E. Weiss,1999,nan,302.49751,135.987
Uno y Dos Son Tres,Dr. Sapo,2010,0.379523324,141.13914,120.926
Hammer Blues (Take 2),Charley Patton,1990,nan,196.77995,90.887
Jag har tänt ett juleljus,Sanna Nielsen,2007,nan,187.32363,95.9
Genesis,Dominici,2008,0.474054831,649.7171,171.481
The Northern Territory,Alamo Race Track,2006,0.770146626,249.83465,141.94
I Need Money (Keep Your Alibis),Slim Harpo,1994,0.334706549,144.06485,122.358
The Speed of Noise,Total Fucking Destruction,2007,nan,56.52853,119.602
Step Outside,The Housemartins,1988,0.594483379,255.34649,121.306
32 Lineup,B12,2008,nan,493.73995,134.085
Do What You're Told,Bang Tango,1989,0.611214623,186.72281,133.901
Gibrone Culture,Mains Ignition,2003,nan,164.0224,66.666
Another Name,Philmont,2008,0.590824065,217.20771,141.997
Fiery Affair,Figurines,2005,0.454042766,179.06893,93.7
Under My Arm,Monotract,2007,0.379523324,225.59302,94.149
Storybook Love,Willy DeVille,1987,0.215080319,263.8624,162.272
On Fire (1977 Recording),T-Connection,2009,0.430677706,445.17832,139.487
Butterfly,Susan Tedeschi,2008,0.641438692,246.69995,107.692
Astronaut,David Mead,2005,0.340922756,203.10159,136.317
Insanity,Oceanic,1991,nan,235.25832,126.973
Stone Cold Bitch,Righteous Pigs,1998,0.355285536,133.56363,169.459
Gabriel,The Crazy World Of Arthur Brown,2002,0.239629098,365.40036,161.976
Rosa Che Stai Nescendo,Alessandro Safina,2003,nan,295.78404,118.098
Like A Morning Song,Secret Service,1982,0.424090811,182.64771,122.181
Banlieue Nord,Gérard Manset,1989,0.327736683,349.33506,133.219
Intact,Ned's Atomic Dustbin,1992,0.694601783,287.03302,123.368
Juillet,Nimal,1992,nan,277.9424,131.824
My Back Pages,Bob Dylan;Roger McGuinn;Tom Petty;Neil Young;Eric Clapton;George Harrison,1964,nan,279.45751,129.144
We're Not There,Damon And Naomi,1998,0.327736683,307.59138,161.202
Hühnerfresser,Hagen Rether,2007,0.427582886,866.29832,128.663
Make the World Go Round,Pussy Dub Foundation,2002,nan,339.80036,126.02
Morricone Dancehall,Burning Airlines,2001,0.474147941,171.96363,121.97
Polyphase,Children Of The Bong,1995,0.513521124,436.55791,79.923
Christmas Is My Favorite Time Of The Year,Kenny Rogers,1981,0.484469523,163.18649,148.013
My Love Is Running Over,Lutan Fyah,2009,0.407233015,213.02812,154.463
Kyrie (ambient mix),Antaeus,1997,0,286.1971,99.15
All For You,Earl Van Dyke & The Soul Brothers,2001,0.534313493,177.08363,120.851
Master Hare,Savoy Brown,1970,0.561428518,293.48526,95.671
You're The One,The Dayton Sidewinders,2006,nan,109.81832,137.014
Auf der Flucht,Falco,1982,nan,253.07383,125.03
The Grand Pecking Order (LP Version),Oysterhead,2001,0.301099414,154.25261,124.547
Collapse (Explicit Version),Motograter,2003,0.76483582,178.85995,86.539
Smokebelch I,The Sabres Of Paradise,1993,0.303995199,460.87791,86.449
Shonen Knife,Wesley Willis,1996,0,149.002,95.016
Der Weg hinab,Sport,2006,0.299877488,425.29914,111.873
The Hip and the Homeless,B.C. Camplight,2007,0.39690522,224.86159,117.998
Pearls to Pigs (demo),Modwheelmood,2009,0.212045405,361.32526,150.128
Our Day Will Come,Johnny Adams,1994,nan,300.40771,122.996
I Don't Love You Anymore,Dr. Ring-Ding & The Senior Allstars,2001,nan,138.16118,131.93
Solar Aquarius,Davis Redford Triad,2002,nan,436.06159,83.197
Antidote,Blue Planet Corporation,1996,nan,478.69342,149.98
Tuning In,Groove Armada,2005,nan,312.47628,90.019
He Did That,Silkk The Shocker featuring Master P & Mac,2001,nan,214.59546,169.154
Dreams Be Dreams,Jack Johnson,2003,nan,132.98893,112.115
Headstrong (LP Version),10_000 Maniacs,1989,nan,256.522,118.768
Maybe For Sure,Deborah Harry,1989,0.518759898,268.32934,128.823
Dagger of The Mind,Decadence,2005,0.475172636,273.94567,108.688
The Return Of Sam Snead,Tim Hecker,2002,0.425124658,303.72526,91.282
Cancun (A Tribute To Henry Mancini),Tape Five,2008,0.601193162,239.0722,100.088
Operated On,Union Of Knives,2006,nan,298.23955,119.991
MISTY MAN (MIX '98),Waltari,1998,0.212045405,256.54812,175.115
Give Yourself A Chance,Raised Fist,1994,0.526837034,128.28689,215.271
Stallion,Sunset Rubdown,2007,0.587102737,405.49832,114.257
Topsy  (LP Version),Manhattan Transfer,1997,0.290316056,194.01098,197.595
Interloper,X-Cops,1995,0.345802234,198.26893,77.75
So Into You,Atlanta Rhythm Section,1976,nan,336.06485,91.573
Solitude Des Latitudes,Gérard Manset,1989,0.270775999,390.19057,112.864
Stay,The Temptations,1998,0.515963631,285.88363,92.793
The 20th Year,The Lyndsay Diaries,2002,0.323112121,257.2273,85.005
Blue Pine Yodel (for Lew Welch),The Dials,2009,0,199.8624,207.983
The Deception Of Strongholds,War Of Ages,2008,0.64211188,245.02812,194.208
Then I Run,Mew,1997,0.608339007,237.13914,187.997
Mirrorshades/We Don't Take,Information Society,1990,0.427446571,337.89342,93.978
Whatever You Like (Amended Album Version),T.I.,2008,nan,249.52118,150.111
Easy For You,Armitage Shanks,1996,nan,170.9971,128.49
Cornered,Kraak & Smaak,2004,nan,396.43383,120.165
Pirouette,3 Colours Red,1999,0.557187768,253.59628,140.59
Drink,Tempo 38,2003,0,232.59383,183.434
Silent Night,Michael W. Smith,1989,0.69825269,94.61506,71.257
I'm Gonna Play The Honky Tonks,Marie Adams,1999,nan,162.66404,111.093
The One,Everyday Sunday,2004,0.394394856,190.61506,93.435
Get Up Stand Up Feat. T.O.K,Bunji Garlin,2007,0.237468279,226.5073,150.27
Circles (Album Edit),Adam F,1997,0.541268534,435.61751,247.474
Rail On,Papa Wemba,1995,0.424090811,146.1024,93.58
Angel In Blue (2005 Digital Remaster),J. Geils Band,2006,0.311345078,291.36934,106.911
Shining Road,Cranes,1994,nan,231.36608,119.461
Talk Amongst Yourselves (Sasha remix),Grand National,2006,0.457447167,581.95546,111.043
Devoid,Unwound,1996,0.518418707,193.27955,134.672
Ain't Life A Drag,Fifteen,1996,0.427582886,235.65016,120.937
Night Life,Willie Nelson / Ray Price,1965,0.239629098,264.98567,97.25
Promenade,Leroy Anderson,1995,0.319565987,174.18404,130.716
Berry Metal,Metallic Falcons,2005,nan,225.30567,114.453
Jus Me,Funky DL,2009,0,153.10322,78.503
Capitalismo caníbal,Skalariak,1997,0.427582886,136.75057,184.063
Au fond du temple saint,David Byrne,2004,0.619361604,289.802,69.613
Not About Me,[re:jazz],2006,0.458288207,320.65261,149.609
George,John Lord Fonda,2004,nan,358.84363,137.132
Witte Kat,Shit and Shine,2006,0.266955186,124.31628,184.402
I'll Be Loving You,The King Khan & BBQ Show,2009,0.653958512,188.47302,154.204
Click Pop,KJ Sawka,2007,0.304169503,327.31383,80.018
Bump (Radio Mix),Fun Lovin' Criminals,2001,0.413739836,207.5424,104.097
Let's Dance,Juicebox,2006,0.215080319,147.61751,97.036
Airs no. 11,Loren Connors,2007,0.417313803,124.60363,132.47
Live Debaco,Petey Pablo,2001,0.473346541,189.83138,145.084
Raining,Snowgoons,2008,nan,219.11465,111.186
are you there?,marr,2004,0.480746958,222.24934,186.004
You Still Touch Me,Sting,1996,0.692685498,226.82077,101.141
Reactor No. 2,Nash The Slash,1981,nan,259.02975,171.663
See My Son,Tyler Bates,2008,0,131.44771,141.348
Hark The Herald Angel Sing,Boney M.,1991,0.436751763,183.95383,95.705
Los Sobrevivientes,Seru Giran,1979,nan,410.74893,98.562
Movin' Out,Aerosmith,1973,nan,343.30077,158.618
A Good Date,Charles Earland,2000,0,412.44689,89.268
A Part In That Show,Chris Joss,2004,0.508801328,247.64036,112.984
Metal Storm/ Face the Slayer,Slayer,1983,0.669458016,291.26485,176.717
Can You Stand The Rain,New Edition,1988,0.722799564,418.29832,142.859
Xavier Says,The Magnetic Fields,2008,0.812052331,160.57424,106.716
The Pseudopod,Alan Silvestri,1989,0.323112121,337.21424,37.46
Don't Cheat On Me,Samantha Fox,1988,0,184.55465,134.73
If You Don't Get What You Want,dEUS,2004,nan,229.32853,152.72
Regalami il tuo sogno,Ligabue,1991,nan,209.68444,150.03
Little Toy Brain,Gov't Mule,2004,0.513517029,312.2673,123.75
Kashmir,Paul Dianno,2006,0.377697984,461.13914,153.875
Geht nicht über Nacht,Herrenmagazin,2008,0.523175055,183.30077,160.012
Any Porch,Bubba Sparxxx,2000,nan,80.3522,88.07
Getting By_ High_ and Strange,Kris Kristofferson,2010,0.304169503,297.06404,103.547
Salt In The Snow,The Classic Crime,2008,0.741416861,333.60934,170.779
Kalinifta,Après La Classe,2002,nan,209.44934,92.777
And All Shall Suffer (Album Version),All Out War,2007,0.459157901,210.1024,93.251
Baby I Love You,Johnny Adams,1994,nan,252.26404,192.939
Party,Ida Corr,2005,0,238.36689,105.051
Tall Winds,Paik,2003,0.229144104,479.86893,78.787
It Had To Be You,Billie Holiday,1992,nan,240.92689,142.367
Gimme Some Truth,Matthew Sweet & Susanna Hoffs,2009,0.327736683,207.82975,131.079
Dizzay,Doormouse,2005,0.212045405,194.63791,119.642
Sixnot6,Mira Calix,2003,0.345802234,347.92444,107.375
The Day You Went Away,Persephone,2002,0.476248227,183.01342,120.909
I Give Up,4ft Fingers,2008,0.309468991,200.41098,90.992
School's Out,Alice Cooper,1972,0.473647422,209.6322,134.696
Come Around And See Me,The Raspberries,1972,nan,191.05914,97.488
Diokhan,Guano Apes,2003,0.649767021,213.55057,173.539
Morkullan (The Woodcock),Groupa,1999,nan,248.71138,163.639
Christmas,The Who,1969,0.650676969,272.61342,107.69
Cantaloupe Island,Herbie Hancock,1964,nan,329.66485,115.732
House,Luciana Souza,2004,nan,255.42485,121.877
Estamos Perdiendo,Los Fabulosos Cadillacs,1986,0.400039657,324.30975,86.477
Yuan Wang Shu Shang,Hins Cheung,2008,nan,204.59057,85.974
Soft Cage,Wilderness,2008,0.345802234,459.33669,210.638
Isn't It A Pity?,Shirley Horn,1992,nan,347.24526,79.546
Traición,La India,2002,nan,198.60853,149.879
Luther The Anthropoid (Ape Man),The Jimmy Castor Bunch,1972,0.427446571,201.58649,117.553
W.A.R.,The Creators feat. Tribel,2000,0.249065795,252.73424,90.261
Love Me Two Times,Aerosmith,1990,0.62549252,195.29098,131.931
If You Give Me,John Dahlback,2007,nan,459.04934,126.004
Powerful People,Gino Vannelli,1974,nan,371.69587,181.062
Like Water,Christopher Willits,2006,0.425124658,57.5473,57.141
Need To Say Goodbye,Tina Ann,2003,nan,226.32444,156.065
Allthegirls (Tomboy Rmx),Siriusmo,2008,nan,266.26567,125.013
Protest Beat,Adequate Seven,2003,nan,193.98485,110.974
I Am A Man,Fifteen,1999,0.39690522,141.68771,140.215
Clandestino,Adriana Calcanhotto,2000,0.648785262,145.76281,84.029
Kleine Pfützen,Gerhard Schöne,2005,nan,143.22893,118.77
If the Good Lord's Willing,Johnny Cash,1957,nan,100.91057,212.037
It's Lonely Out Here,Susanna Hoffs,1991,0.405115722,231.20934,118.205
Peeking,Michael Nyman,2001,0.481694147,164.91057,66.848
K'Arawi (Planting Song),Yma Sumac,1987,0.413739836,199.78404,115.106
Don't Look Away,Gary Allan,2003,0.498873932,272.3522,90.005
Elevator Music 6a,Jah Wobble,2004,0,164.46649,146.026
Andar Pela Ilha,Natiruts,2002,0.546843274,251.34975,94.815
1980,Frozen Plasma,2006,nan,292.44036,130.01
Breathless,Cat Power,2008,0.631814923,304.3522,164.155
Driftin',Louisiana Red,1999,0.352232225,344.65914,109.145
When The Moon Shines Red,Powerwolf,2007,0.589481752,264.51546,123.821
A Little At A Time,Benjy Ferree,2006,0.434124583,159.9473,86.378
Cocco Bill,Cor veleno,2007,0.313562114,202.70975,89.937
Reprise,Jetplane Landing,2007,0.288481643,66.21995,81.709
Jóga,Björk,1994,nan,305.94567,70.707
L'éclipse,Lizzy Mercier Descloux,1984,0.463251105,204.35546,110.618
Breaking Up,Alton Ellis,1967,nan,172.90404,91.035
Pigs,Eyehategod,1992,nan,178.75546,74.388
End Of Time,Jeckyll & Hyde,2007,0.518759898,215.77098,139.993
My Money,Nate Dogg,1998,nan,290.89914,203.592
(I've Got A) Humpty Dumpty Heart,Hank Thompson And His Brazos Valley Boys,1996,0.22732622,146.25914,86.457
Somewhere In The Night (Live),Michael Stanley Band,1981,0.253762294,299.15383,123.913
Mated,Todd Rundgren,1997,0.508915798,244.55791,98.691
True Love Will Find You In The End,Daniel Johnston,1984,nan,105.22077,117.99
Sugar Voids,The Bevis Frond,2000,0,225.82812,141.254
Galdir,Sevara Nazarkhan,2003,0.48456253,360.14975,98.734
Queen Of The Twisters,Bill Haley & The Comets,1999,0,156.73424,183.891
Grey Ghost,Mike Doughty,2002,0.670519957,195.02975,77.978
Revelations,Fausto Papetti,1977,0.310791536,211.27791,135.308
Set You Free,Grayson Manor,2006,0,187.402,126.714
The Heart You Break May Be Your Own,Patsy Cline,1991,nan,149.36771,91.57
Settle Down,Some Velvet Morning,2007,0.260338243,212.74077,124.269
Nothing But Trouble,Lonnie Johnson,1996,nan,165.82485,114.712
No Title,Alexander Robotnick,2003,0.328220577,157.04771,129.636
The Blues Are Brewin',Manhattan Transfer,2000,0.334706549,377.99138,106.745
Life And Times Of A Bonus Track,EDGUY,2004,0.562733724,205.47873,78.938
Quien Te Bautizo (Vicenta),Compay Segundo,2004,0.392008771,210.36363,193.756
Das Ende,Der Plan,1983,nan,88.78975,86.426
Get Down - Give in (Sex Song),Slick Idiot,2001,0.515313991,322.79465,130.971
En Avant!,Derniere Volonte,2004,0.569500603,251.19302,92.125
Baby_ I Grew You a Beard,Neil Halstead,2008,0.562752131,243.53914,162.128
Big Town Playboy,Little Johnny Jones,1998,nan,172.82567,110.215
Non Verbal Language,16 Bit Lolitas,2007,nan,550.08608,123.012
The Night Ain't Long Enough,Paul Butterfield,1986,nan,184.78975,134.922
